PassengerId|Pclass|Name|Nickname|Sex|Age|SibSp|Parch|Ticket|Fare|Embarked|Level|Bridge|Cabin
126|3|Nicola-Yarred, Master. Elias|Nicola-Yarred|1|12|1|0|2651|11|0|E|E1|E121
127|3|McMahon, Mr. Martin|McMahon|1|29|0|0|370372|7|1|E|E1|E10
128|3|Madsen, Mr. Fridtjof Arne|Madsen|1|24|0|0|C 17369|7|2|F|F |F G73
129|3|Peter, Miss. Anna|Peter|0|29|1|1|2668|22|0|F|F |F E69
130|3|Ekstrom, Mr. Johan|Ekstrom|1|45|0|0|347061|6|2|A|A3|A36
131|3|Drazenoic, Mr. Jozef|Drazenoic|1|33|0|0|349241|7|0|B|B5|B51 B53 B55
132|3|Coelho, Mr. Domingos Fernandeo|Coelho|1|20|0|0|SOTON/O.Q. 3101307|7|2|F|F |F G73
133|3|Robins, Mrs. Alexander A (Grace Charity Laury)|Robins|0|47|1|0|A/5. 3337|14|2|D|D|D
134|2|Weisz, Mrs. Leopold (Mathilde Francoise Pede)|Weisz|0|29|1|0|228414|26|2|A|A1|A19
135|2|Sobey, Mr. Samuel James Hayden|Sobey|1|25|0|0|C.A. 29178|13|2|D|D|D
136|2|Richard, Mr. Emile|Richard|1|23|0|0|SC/PARIS 2133|15|0|D|D|D
137|1|Newsom, Miss. Helen Monypeny|Newsom|0|19|0|2|11752|26|2|D|D4|D47
138|1|Futrelle, Mr. Jacques Heath|Futrelle|1|37|1|0|113803|53|2|C|C1|C123
139|3|Osen, Mr. Olaf Elon|Osen|1|16|0|0|7534|9|2|D|D|D
140|1|Giglio, Mr. Victor|Giglio|1|24|0|0|PC 17593|79|0|B|B8|B86
141|3|Boulos, Mrs. Joseph (Sultana)|Boulos|0|29|0|2|2678|15|0|E|E1|E101
142|3|Nysten, Miss. Anna Sofia|Nysten|0|22|0|0|347081|7|2|F|F |F G73
143|3|Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)|Hakkarainen|0|24|1|0|STON/O2. 3101279|15|2|D|D|D
144|3|Burke, Mr. Jeremiah|Burke|1|19|0|0|365222|6|1|F|F |F G73
145|2|Andrew, Mr. Edgardo Samuel|Andrew|1|18|0|0|231945|11|2|D|D|D
146|2|Nicholls, Mr. Joseph Charles|Nicholls|1|19|1|1|C.A. 33112|36|2|A|A6|A6
147|3|"Andersson, Mr. August Edvard (""Wennerstrom"")"|Andersson|1|27|0|0|350043|7|2|E|E1|E101
148|3|"Ford, Miss. Robina Maggie ""Ruby"""|Ford|0|9|2|2|W./C. 6608|34|2|F|F4|F4
149|2|"Navratil, Mr. Michel (""Louis M Hoffman"")"|Navratil|1|36|0|2|230080|26|2|F|F2|F2
150|2|Byles, Rev. Thomas Roussel Davids|Byles|1|42|0|0|244310|13|2|D|D|D
151|2|Bateman, Rev. Robert James|Bateman|1|51|0|0|S.O.P. 1166|12|2|D|D1|D17
152|1|Pears, Mrs. Thomas (Edith Wearne)|Pears|0|22|1|0|113776|66|2|C|C2|C2
153|3|Meo, Mr. Alfonzo|Meo|1|55|0|0|A.5. 11206|8|2|B|B9|B94
154|3|van Billiard, Mr. Austin Blyler|van Billiard|1|40|0|2|A/5. 851|14|2|D|D|D
155|3|Olsen, Mr. Ole Martin|Olsen|1|29|0|0|Fa 265302|7|2|E|E1|E10
156|1|Williams, Mr. Charles Duane|Williams|1|51|0|1|PC 17597|61|0|A|A2|A20
157|3|"Gilnagh, Miss. Katherine ""Katie"""|Gilnagh|0|16|0|0|35851|7|1|F|F |F G73
158|3|Corn, Mr. Harry|Corn|1|30|0|0|SOTON/OQ 392090|8|2|E|E1|E10
159|3|Smiljanic, Mr. Mile|Smiljanic|1|29|0|0|315037|8|2|F|F3|F33
160|3|Sage, Master. Thomas Henry|Sage|1|29|8|2|CA. 2343|69|2|B|B3|B35
161|3|Cribb, Mr. John Hatfield|Cribb|1|44|0|1|371362|16|2|D|D|D
162|2|"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"|Watt|0|40|0|0|C.A. 33595|15|2|D|D|D
163|3|Bengtsson, Mr. John Viktor|Bengtsson|1|26|0|0|347068|7|2|E|E1|E101
164|3|Calic, Mr. Jovo|Calic|1|17|0|0|315093|8|2|F|F |F G73
165|3|Panula, Master. Eino Viljami|Panula|1|1|4|1|3101295|39|2|F|F4|F4
166|3|"Goldsmith, Master. Frank John William ""Frankie"""|Goldsmith|1|9|0|2|363291|20|2|E|E1|E121
167|1|Chibnall, Mrs. (Edith Martha Bowerman)|Chibnall|0|29|0|1|113505|55|2|E|E3|E33
168|3|Skoog, Mrs. William (Anna Bernhardina Karlsson)|Skoog|0|45|1|4|347088|27|2|B|B3|B38
169|1|Baumann, Mr. John D|Baumann|1|29|0|0|PC 17318|25|2|A|A1|A19
170|3|Ling, Mr. Lee|Ling|1|28|0|0|1601|56|2|E|E3|E33
171|1|Van der hoef, Mr. Wyckoff|Van der hoef|1|61|0|0|111240|33|2|B|B1|B19
172|3|Rice, Master. Arthur|Rice|1|4|4|1|382652|29|1|F|F2|F2
173|3|Johnson, Miss. Eleanor Ileen|Johnson|0|1|1|1|347742|11|2|G|G6|G6
174|3|Sivola, Mr. Antti Wilhelm|Sivola|1|21|0|0|STON/O 2. 3101280|7|2|F|F |F G73
175|1|Smith, Mr. James Clinch|Smith|1|56|0|0|17764|30|0|A|A7|A7
176|3|Klasen, Mr. Klas Albin|Klasen|1|18|1|1|350404|7|2|F|F |F G73
177|3|Lefebre, Master. Henry Forbes|Lefebre|1|29|3|1|4133|25|2|A|A1|A19
178|1|Isham, Miss. Ann Elizabeth|Isham|0|50|0|0|PC 17595|28|0|C|C4|C49
179|2|Hale, Mr. Reginald|Hale|1|30|0|0|250653|13|2|E|E1|E101
180|3|Leonard, Mr. Lionel|Leonard|1|36|0|0|LINE|0|2|A|A3|A36
181|3|Sage, Miss. Constance Gladys|Sage|0|29|8|2|CA. 2343|69|2|B|B3|B35
182|2|Pernot, Mr. Rene|Pernot|1|29|0|0|SC/PARIS 2131|15|0|E|E1|E101
183|3|Asplund, Master. Clarence Gustaf Hugo|Asplund|1|9|4|2|347077|31|2|F|F2|F2
184|2|Becker, Master. Richard F|Becker|1|1|2|1|230136|39|2|F|F4|F4
185|3|Kink-Heilmann, Miss. Luise Gretchen|Kink-Heilmann|0|4|0|2|315153|22|2|F|F2|F2
186|1|Rood, Mr. Hugh Roscoe|Rood|1|29|0|0|113767|50|2|A|A3|A32
187|3|"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)"|O'Brien|0|29|1|0|370365|15|1|E|E1|E101
188|1|"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")"|Romaine|1|45|0|0|111428|26|2|B|B3|B38
189|3|Bourke, Mr. John|Bourke|1|40|1|1|364849|15|1|D|D|D
190|3|Turcin, Mr. Stjepan|Turcin|1|36|0|0|349247|7|2|B|B5|B51 B53 B55
191|2|Pinsky, Mrs. (Rosa)|Pinsky|0|32|0|0|234604|13|2|E|E1|E101
192|2|Carbines, Mr. William|Carbines|1|19|0|0|28424|13|2|D|D|D
193|3|Andersen-Jensen, Miss. Carla Christine Nielsine|Andersen-Jensen|0|19|1|0|350046|7|2|F|F |F G73
194|2|Navratil, Master. Michel M|Navratil|1|3|1|1|230080|26|2|F|F2|F2
195|1|Brown, Mrs. James Joseph (Margaret Tobin)|Brown|0|44|0|0|PC 17610|27|0|B|B4|B4
196|1|Lurette, Miss. Elise|Lurette|0|58|0|0|PC 17569|146|0|B|B8|B80
197|3|Mernagh, Mr. Robert|Mernagh|1|29|0|0|368703|7|1|E|E1|E10
198|3|Olsen, Mr. Karl Siegwart Andreas|Olsen|1|42|0|1|4579|8|2|D|D|D
199|3|"Madigan, Miss. Margaret ""Maggie"""|Madigan|0|29|0|0|370370|7|1|F|F3|F33
200|2|"Yrois, Miss. Henriette (""Mrs Harbeck"")"|Yrois|0|24|0|0|248747|13|2|D|D|D
201|3|Vande Walle, Mr. Nestor Cyriel|Vande Walle|1|28|0|0|345770|9|2|E|E1|E101
202|3|Sage, Mr. Frederick|Sage|1|29|8|2|CA. 2343|69|2|B|B3|B35
203|3|Johanson, Mr. Jakob Alfred|Johanson|1|34|0|0|3101264|6|2|B|B5|B51 B53 B55
204|3|Youseff, Mr. Gerious|Youseff|1|45|0|0|2628|7|0|A|A3|A36
205|3|"Cohen, Mr. Gurshon ""Gus"""|Cohen|1|18|0|0|A/5 3540|8|2|F|F |F G73
206|3|Strom, Miss. Telma Matilda|Strom|0|2|0|1|347054|10|2|G|G6|G6
207|3|Backstrom, Mr. Karl Alfred|Backstrom|1|32|1|0|3101278|15|2|E|E1|E101
208|3|Albimona, Mr. Nassef Cassem|Albimona|1|26|0|0|2699|18|0|F|F |F E69
209|3|"Carr, Miss. Helen ""Ellen"""|Carr|0|16|0|0|367231|7|1|F|F |F G73
210|1|Blank, Mr. Henry|Blank|1|40|0|0|112277|31|0|A|A3|A31
211|3|Ali, Mr. Ahmed|Ali|1|24|0|0|SOTON/O.Q. 3101311|7|2|F|F |F G73
212|2|Cameron, Miss. Clear Annie|Cameron|0|35|0|0|F.C.C. 13528|21|2|E|E2|E25
213|3|Perkin, Mr. John Henry|Perkin|1|22|0|0|A/5 21174|7|2|F|F |F G73
214|2|Givard, Mr. Hans Kristensen|Givard|1|30|0|0|250646|13|2|E|E1|E101
215|3|Kiernan, Mr. Philip|Kiernan|1|29|1|0|367229|7|1|E|E1|E10
216|1|Newell, Miss. Madeleine|Newell|0|31|1|0|35273|113|0|D|D3|D36
217|3|Honkanen, Miss. Eliina|Honkanen|0|27|0|0|STON/O2. 3101283|7|2|E|E1|E101
218|2|Jacobsohn, Mr. Sidney Samuel|Jacobsohn|1|42|1|0|243847|27|2|B|B4|B4
219|1|Bazzani, Miss. Albina|Bazzani|0|32|0|0|11813|76|0|D|D1|D15
220|2|Harris, Mr. Walter|Harris|1|30|0|0|W/C 14208|10|2|E|E1|E101
221|3|Sunderland, Mr. Victor Francis|Sunderland|1|16|0|0|SOTON/OQ 392089|8|2|F|F |F G73
222|2|Bracken, Mr. James H|Bracken|1|27|0|0|220367|13|2|E|E1|E101
223|3|Green, Mr. George Henry|Green|1|51|0|0|21440|8|2|B|B9|B94
224|3|Nenkoff, Mr. Christo|Nenkoff|1|29|0|0|349234|7|2|E|E1|E10
225|1|Hoyt, Mr. Frederick Maxfield|Hoyt|1|38|1|0|19943|90|2|C|C9|C93
226|3|Berglund, Mr. Karl Ivar Sven|Berglund|1|22|0|0|PP 4348|9|2|F|F |F G73
227|2|Mellors, Mr. William John|Mellors|1|19|0|0|SW/PP 751|10|2|D|D|D
228|3|"Lovell, Mr. John Hall (""Henry"")"|Lovell|1|20|0|0|A/5 21173|7|2|F|F |F G73
229|2|Fahlstrom, Mr. Arne Jonas|Fahlstrom|1|18|0|0|236171|13|2|D|D|D
230|3|Lefebre, Miss. Mathilde|Lefebre|0|29|3|1|4133|25|2|A|A1|A19
231|1|Harris, Mrs. Henry Birkhardt (Irene Wallach)|Harris|0|35|1|0|36973|83|2|C|C8|C83
232|3|Larsson, Mr. Bengt Edvin|Larsson|1|29|0|0|347067|7|2|E|E1|E10
233|2|Sjostedt, Mr. Ernst Adolf|Sjostedt|1|59|0|0|237442|13|2|C|C1|C103
234|3|Asplund, Miss. Lillian Gertrud|Asplund|0|5|4|2|347077|31|2|F|F2|F2
235|2|Leyson, Mr. Robert William Norman|Leyson|1|24|0|0|C.A. 29566|10|2|E|E1|E101
236|3|Harknett, Miss. Alice Phoebe|Harknett|0|29|0|0|W./C. 6609|7|2|F|F3|F33
237|2|Hold, Mr. Stephen|Hold|1|44|1|0|26707|26|2|B|B3|B38
238|2|"Collyer, Miss. Marjorie ""Lottie"""|Collyer|0|8|0|2|C.A. 31921|26|2|F|F2|F2
239|2|Pengelly, Mr. Frederick William|Pengelly|1|19|0|0|28665|10|2|D|D|D
240|2|Hunt, Mr. George Henry|Hunt|1|33|0|0|SCO/W 1585|12|2|D|D5|D56
241|3|Zabour, Miss. Thamine|Zabour|0|29|1|0|2665|14|0|E|E1|E101
242|3|"Murphy, Miss. Katherine ""Kate"""|Murphy|0|29|1|0|367230|15|1|E|E1|E101
243|2|Coleridge, Mr. Reginald Charles|Coleridge|1|29|0|0|W./C. 14263|10|2|E|E1|E101
244|3|Maenpaa, Mr. Matti Alexanteri|Maenpaa|1|22|0|0|STON/O 2. 3101275|7|2|F|F |F G73
245|3|Attalah, Mr. Sleiman|Attalah|1|30|0|0|2694|7|0|E|E1|E10
246|1|Minahan, Dr. William Edward|Minahan|1|44|2|0|19928|90|1|C|C7|C78
247|3|Lindahl, Miss. Agda Thorilda Viktoria|Lindahl|0|25|0|0|347071|7|2|E|E1|E101
248|2|Hamalainen, Mrs. William (Anna)|Hamalainen|0|24|0|2|250649|14|2|D|D|D
249|1|Beckwith, Mr. Richard Leonard|Beckwith|1|37|1|1|11751|52|2|D|D3|D35
250|2|Carter, Rev. Ernest Courtenay|Carter|1|54|1|0|244252|26|2|C|C1|C103
251|3|Reed, Mr. James George|Reed|1|29|0|0|362316|7|2|E|E1|E10
252|3|Strom, Mrs. Wilhelm (Elna Matilda Persson)|Strom|0|29|1|1|347054|10|2|G|G6|G6
253|1|Stead, Mr. William Thomas|Stead|1|62|0|0|113514|26|2|C|C8|C87
254|3|Lobb, Mr. William Arthur|Lobb|1|30|1|0|A/5. 3336|16|2|E|E1|E101
255|3|Rosblom, Mrs. Viktor (Helena Wilhelmina)|Rosblom|0|41|0|2|370129|20|2|B|B3|B38
256|3|Touma, Mrs. Darwis (Hanne Youssef Razi)|Touma|0|29|0|2|2650|15|0|E|E1|E101
257|1|Thorne, Mrs. Gertrude Maybelle|Thorne|0|29|0|0|PC 17585|79|0|B|B8|B86
258|1|Cherry, Miss. Gladys|Cherry|0|30|0|0|110152|86|2|B|B7|B77
259|1|Ward, Miss. Anna|Ward|0|35|0|0|PC 17755|512|0|B|B1|B101
260|2|Parrish, Mrs. (Lutie Davis)|Parrish|0|50|0|1|230433|26|2|D|D1|D17
261|3|Smith, Mr. Thomas|Smith|1|29|0|0|384461|7|1|E|E1|E10
262|3|Asplund, Master. Edvin Rojj Felix|Asplund|1|3|4|2|347077|31|2|F|F2|F2
263|1|Taussig, Mr. Emil|Taussig|1|52|1|1|110413|79|2|E|E6|E67
264|1|Harrison, Mr. William|Harrison|1|40|0|0|112059|0|2|B|B9|B94
265|3|Henry, Miss. Delia|Henry|0|29|0|0|382649|7|1|F|F3|F33
266|2|Reeves, Mr. David|Reeves|1|36|0|0|C.A. 17248|10|2|D|D|D
267|3|Panula, Mr. Ernesti Arvid|Panula|1|16|4|1|3101295|39|2|B|B4|B42
268|3|Persson, Mr. Ernst Ulrik|Persson|1|25|1|0|347083|7|2|E|E1|E101
